"","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2015-12-01",159.410004,160.669998,157.539993,160.449997,2406900,154.571152
"2015-12-02",159.470001,160.039993,157.550003,157.869995,1611800,152.085678
"2015-12-03",158,158.369995,153.289993,153.630005,2588300,148.001022
"2015-12-04",154.570007,155.729996,153.330002,155.470001,2250800,149.773605
"2015-12-07",153.860001,154.339996,151.5,152.570007,1845700,146.979889
"2015-12-08",151.580002,152.110001,147.970001,148.389999,2155000,142.953018
"2015-12-09",147.460007,149.869995,146.419998,147.050003,2049900,141.66214
"2015-12-10",146.800003,149.699997,146.779999,148.490005,1638900,143.292969
"2015-12-11",146.389999,147.479996,144.179993,144.259995,2696000,139.211029
"2015-12-14",143,143.789993,140.889999,143.690002,3089800,138.660965
"2015-12-15",144.190002,147.490005,144.059998,144.690002,2933100,139.625977
"2015-12-16",145.889999,149.630005,145.75,148.830002,3032800,143.621078
"2015-12-17",156.850006,157.509995,151.529999,151.839996,5865000,146.525726
"2015-12-18",150.339996,150.589996,146.710007,147.149994,5141500,141.999863
"2015-12-21",147.550003,148.539993,144.729996,145.75,2065000,140.64888
"2015-12-22",146.449997,148.789993,146.020004,148.410004,2202500,143.215759
"2015-12-23",148.830002,151.240005,148.550003,150.720001,1794900,145.444916
"2015-12-24",150.220001,150.899994,148.710007,149.649994,1148600,144.412338
"2015-12-28",149,149.589996,147.020004,148.410004,1805200,143.215759
"2015-12-29",149.300003,149.740005,148.149994,149.240005,1055600,144.016739
"2015-12-30",148.850006,150.139999,148.009995,149.179993,1217700,143.958817
"2015-12-31",148.270004,150.350006,148.110001,148.990005,1461500,143.775497
"2016-01-04",146.410004,147,142.800003,143.429993,3331500,138.410065
"2016-01-05",143.559998,144.729996,142.389999,144.649994,1698500,139.587357
"2016-01-06",142.570007,143.199997,140.279999,140.770004,1931500,135.843155
"2016-01-07",138,138.75,134.289993,134.589996,3371200,129.87944
"2016-01-08",135.600006,137.229996,134.399994,134.710007,2386700,129.99527
"2016-01-11",134.860001,135.050003,131.229996,132.970001,2490100,128.316147
"2016-01-12",133.940002,135.259995,132.529999,134.710007,1484100,129.99527
"2016-01-13",135.309998,136.330002,129.610001,130.289993,2268900,125.72995
"2016-01-14",130.740005,132.839996,128.399994,131.699997,2144400,127.090576
"2016-01-15",128.059998,128.929993,124.839996,126.919998,4239300,122.477905
"2016-01-19",129.210007,129.75,125.279999,127.199997,2956200,122.748108
"2016-01-20",124.5,125.470001,119.709999,123.18,3764500,118.868805
"2016-01-21",123.260002,125.089996,122,123.57,2639000,119.245155
"2016-01-22",126.199997,128.089996,125.660004,127.559998,2393200,123.095497
"2016-01-25",127,128.050003,125.709999,126.040001,2737600,121.628708
"2016-01-26",126.370003,127.75,125.800003,127.279999,1854400,122.825294
"2016-01-27",130.149994,131.699997,127.709999,128.25,2323400,123.761368
"2016-01-28",128.729996,129.800003,127.449997,128.220001,1576800,123.732422
"2016-01-29",128.800003,133.039993,128.800003,132.880005,2958100,128.229355
"2016-02-01",131.610001,132.770004,130.009995,132.309998,1857100,127.67926
"2016-02-02",131.570007,132.25,129.919998,130.149994,2173000,125.594849
"2016-02-03",130.889999,131.539993,127.43,130.979996,1953600,126.395821
"2016-02-04",130.690002,136.089996,130.690002,134.210007,2542000,129.512772
"2016-02-05",133.25,134.539993,131.630005,131.910004,1606200,127.293251
"2016-02-08",130.279999,130.990005,128.050003,130.330002,1752400,125.768539
"2016-02-09",129.25,131.160004,128.059998,129.770004,1936200,125.228165
