"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2011-01-07",87.790001,88.190002,85.620003,86.82,918900,69.65377
"2011-01-10",86.699997,86.699997,84.629997,86.099998,923200,69.076134
"2011-01-11",86.559998,87.870003,86.129997,86.720001,854400,69.573532
"2011-01-12",87.510002,88.480003,87.089996,87.360001,790100,70.087006
"2011-01-13",87.25,87.639999,85.760002,86.260002,1151400,69.204498
"2011-01-14",86.07,87.43,84.839996,86.379997,1971100,69.300774
"2011-01-18",86.300003,86.790001,85.139999,86.199997,1388300,69.15638
"2011-01-19",85.879997,87.480003,85.879997,86.489998,983400,69.389038
"2011-01-20",86.449997,86.540001,85.099998,85.730003,739800,68.779312
"2011-01-21",87.040001,87.709999,86.120003,86.769997,810100,69.61367
"2011-01-24",86.639999,86.910004,85.790001,86.370003,595300,69.292755
"2011-01-25",86.279999,87,85.900002,86.980003,724600,69.782158
"2011-01-26",87.290001,87.290001,85.190002,86.080002,769300,69.060097
"2011-01-27",86.080002,87.029999,85.330002,86.919998,681600,69.734001
"2011-01-28",86.830002,87.82,86.309998,86.349998,637200,69.276695
"2011-01-31",86.470001,86.919998,86.080002,86.470001,525200,69.372986
"2011-02-01",86.800003,87.75,86.099998,87.269997,872400,70.014809
"2011-02-02",86.940002,87.650002,86.230003,86.720001,491100,69.573532
"2011-02-03",86.410004,87.199997,86.099998,86.699997,420800,69.557503
"2011-02-04",86.68,87.5,85.989998,87.489998,569800,70.19133
"2011-02-07",87.32,88.400002,87.239998,87.989998,485200,70.592438
"2011-02-08",88.220001,89.160004,87.75,89.120003,627800,71.499016
"2011-02-09",88.620003,89.93,88.110001,88.769997,623100,71.218216
"2011-02-10",88.300003,88.370003,87.269997,88.110001,513400,70.688713
"2011-02-11",87.540001,90.879997,87.540001,89.860001,921000,72.092705
"2011-02-14",89.82,90.059998,89,89.209999,533500,71.571243
"2011-02-15",89,89.779999,88.900002,89.440002,613500,71.75576
"2011-02-16",89.629997,90.389999,89.599998,90,473000,72.205025
"2011-02-17",89.849998,90.169998,89.349998,89.989998,468900,72.197006
"2011-02-18",89.949997,91.050003,89.68,91.010002,861600,73.01532
"2011-02-22",89.879997,90.440002,88.75,89.599998,794200,71.884102
"2011-02-23",89.610001,90.209999,88.540001,89.089996,813700,71.47496
"2011-02-24",88.870003,88.870003,87,87.629997,993600,70.860367
"2011-02-25",87.949997,88.879997,87.830002,88.559998,638000,71.612404
"2011-02-28",89.040001,89.489998,87.970001,88.050003,882800,71.200043
"2011-03-01",88.540001,88.540001,86.18,86.199997,947400,69.704063
"2011-03-02",86.169998,86.739998,85.330002,85.709999,699700,69.307816
"2011-03-03",86.550003,87.540001,86.089996,87.419998,540700,70.690582
"2011-03-04",87.18,88.239998,86.989998,88.010002,989300,71.167671
"2011-03-07",88.169998,88.580002,86.580002,87.080002,678400,70.415634
"2011-03-08",87.389999,89.980003,87.389999,89.790001,737300,72.607033
"2011-03-09",89.610001,89.730003,88.730003,89.489998,380200,72.364456
"2011-03-10",88.690002,88.919998,87.25,87.660004,687100,70.884636
"2011-03-11",86.980003,88.489998,86.980003,87.699997,489500,70.917007
"2011-03-14",87.199997,87.779999,86.660004,87.580002,1001700,70.819977
"2011-03-15",85.730003,87.150002,85.529999,86.529999,512300,69.970901
"2011-03-16",86.489998,86.730003,84.690002,84.989998,779000,68.725616
"2011-03-17",86.32,87.709999,85.839996,87.339996,929200,70.62587
