"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2002-07-01",24.24226,24.3346,22.759371,23.253666,6297800,13.215848
"2002-07-02",23.085279,23.253666,22.514938,22.73221,5003200,12.919491
"2002-07-03",22.726778,23.248234,21.944595,22.324823,6114100,12.687955
"2002-07-05",22.868006,23.492666,22.813688,23.487236,2971000,13.348601
"2002-07-08",23.351439,23.818577,23.199348,23.221075,4277900,13.197328
"2002-07-09",23.166758,23.514395,22.270506,22.34655,5644300,12.700306
"2002-07-10",22.542097,22.542097,21.319935,21.439436,5570400,12.184765
"2002-07-11",21.444866,21.890278,20.803911,21.721889,5235900,12.345291
"2002-07-12",21.624117,22.601847,21.607822,22.297665,6397600,12.672522
"2002-07-15",22.297665,22.542097,21.319935,22.248777,4598600,12.644732
"2002-07-16",21.977186,22.840847,21.971754,22.351982,4879300,12.703394
"2002-07-17",23.221075,23.780554,23.166758,23.579576,8584300,13.401078
"2002-07-18",21.021185,21.021185,16.300924,17.381857,64115000,9.878702
"2002-07-19",17.327539,17.843563,17.110266,17.246061,23135600,9.801527
"2002-07-22",17.311243,17.696903,16.784357,16.811516,8559700,9.554558
"2002-07-23",16.920153,17.65345,16.833242,17.316675,9559900,9.841653
"2002-07-24",17.273222,19.065725,17.12113,18.821293,12196600,10.696782
"2002-07-25",18.821293,19.565454,18.739815,19.494841,9003200,11.079583
"2002-07-26",19.717545,19.934818,19.473112,19.869637,5699300,11.292595
"2002-07-29",20.630093,21.238457,20.543182,21.12982,9881500,12.008793
"2002-07-30",20.695274,21.189571,20.499729,20.77132,6457300,11.805051
"2002-07-31",20.907116,21.825094,20.668116,21.678436,8212100,12.320592
"2002-08-01",21.390549,21.548071,20.423683,20.738729,7814400,11.786527
"2002-08-02",20.478001,21.292776,20.478001,20.77132,6543600,11.805051
"2002-08-05",21.12982,21.184139,19.391636,19.418795,5953000,11.036363
"2002-08-06",19.55459,20.135796,19.549158,19.766432,4861300,11.233936
"2002-08-07",19.766432,20.097773,19.342749,20.09234,6906600,11.419161
