"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2009-10-14",15.6025,15.66,15.4175,15.6225,5788800,15.6225
"2009-10-15",15.5,15.745,15.3775,15.745,4492800,15.745
"2009-10-16",15.38,15.685,15.3475,15.59,4043200,15.59
"2009-10-19",15.575,15.8425,15.5625,15.7175,2712400,15.7175
"2009-10-20",15.765,15.765,15.3975,15.5375,3811200,15.5375
"2009-10-21",15.625,16.25,15.525,15.8725,8800400,15.8725
"2009-10-22",15.875,15.875,15.4475,15.6675,4088800,15.6675
"2009-10-23",15.77,16.0375,15.715,15.78,5745600,15.78
"2009-10-26",15.845,15.8775,15.2325,15.355,5556400,15.355
"2009-10-27",15.3725,15.4525,14.57,14.84,11323600,14.84
"2009-10-28",14.7,14.7975,14.4675,14.48,6473600,14.48
"2009-10-29",14.6375,15.0475,14.53,14.915,5348800,14.915
"2009-10-30",15,15,14.1375,14.1875,6575200,14.1875
"2009-11-02",14.2275,14.6725,14.0425,14.4525,7226400,14.4525
"2009-11-03",14.2575,14.6825,14.17,14.6475,5316000,14.6475
"2009-11-04",14.69,14.965,14.6025,14.69,4858000,14.69
"2009-11-05",14.8775,15.24,14.8225,15.1575,4958800,15.1575
"2009-11-06",15.0275,15.45,15.005,15.2525,4342800,15.2525
"2009-11-09",15.6225,15.9175,15.595,15.8725,6860000,15.8725
"2009-11-10",15.835,16.24,15.775,15.9175,6348000,15.9175
"2009-11-11",16.1525,16.174999,15.7125,15.8825,7156000,15.8825
"2009-11-12",15.9325,16.1,15.685,15.725,5544800,15.725
"2009-11-13",16.155001,16.5375,15.8325,16.532499,9561600,16.532499
"2009-11-16",16.58,16.93,16.567499,16.7125,9481200,16.7125
"2009-11-17",16.8025,16.805,16.125,16.4025,16605200,16.4025
"2009-11-18",15.9325,16.122499,15.445,15.9025,24278000,15.9025
"2009-11-19",15.84,15.84,15.4625,15.645,6750400,15.645
"2009-11-20",15.5175,15.6825,15.4375,15.64,5699200,15.64
"2009-11-23",15.815,16.184999,15.7525,16.125,7001200,16.125
"2009-11-24",16.272499,16.377501,16.022499,16.360001,7437600,16.360001
"2009-11-25",16.290001,16.387501,16.1425,16.272499,3604800,16.272499
"2009-11-27",15.4775,16.0375,15.3375,15.8125,4867200,15.8125
"2009-11-30",15.71,15.735,15.4825,15.67,5756000,15.67
"2009-12-01",15.6675,16.137501,15.595,16.08,4322400,16.08
"2009-12-02",16.035,16.309999,16.022499,16.18,3537200,16.18
"2009-12-03",16.247499,16.4275,16.1525,16.172501,3770800,16.172501
"2009-12-04",16.4275,16.6075,16.1625,16.487499,5850000,16.487499
"2009-12-07",16.532499,16.5625,16.355,16.467501,3655600,16.467501
"2009-12-08",16.275,16.32,16,16.035,6942400,16.035
"2009-12-09",16.040001,16.0825,15.73,15.9425,4596400,15.9425
"2009-12-10",16.049999,16.247499,16.002501,16.172501,3988000,16.172501
"2009-12-11",16.2225,16.2225,15.56,15.815,6979200,15.815
"2009-12-14",15.99,16.272499,15.7325,16.23,5395200,16.23
"2009-12-15",16.190001,16.3325,16.025,16.2675,3513200,16.2675
"2009-12-16",16.32,16.545,16.2325,16.445,5834800,16.445
"2009-12-17",16.377501,16.3925,16.1525,16.219999,4096400,16.219999
"2009-12-18",16.375,16.9825,16.309999,16.969999,13851200,16.969999
"2009-12-21",16.9925,17.465,16.855,17.43,8674000,17.43
"2009-12-22",17.24,17.9375,17.17,17.825001,10318000,17.825001
"2009-12-23",17.827499,18.225,17.702499,18.15,7430400,18.15
"2009-12-24",18.2325,18.2325,18.0425,18.165001,3073200,18.165001
"2009-12-28",18.102501,18.442499,18.102501,18.405001,6663200,18.405001
"2009-12-29",18.4175,18.737499,18.3575,18.66,7845600,18.66
"2009-12-30",18.565001,18.565001,18.215,18.504999,12124000,18.504999
"2009-12-31",18.52,18.59,18.387501,18.442499,5436400,18.442499
"2010-01-04",18.6525,18.8825,18.547501,18.705,7906000,18.705
"2010-01-05",18.612499,18.75,18.200001,18.625,7942400,18.625
"2010-01-06",18.6875,18.75,18.495001,18.592501,5122400,18.592501
"2010-01-07",18.629999,18.737499,18.385,18.51,4840000,18.51
"2010-01-08",18.5175,18.5875,18.315001,18.5375,5510400,18.5375
"2010-01-11",18.65,18.674999,18.1975,18.4125,6399200,18.4125
"2010-01-12",17.610001,17.622499,17.065001,17.0725,21053200,17.0725
"2010-01-13",17.07,17.1975,16.7425,17.125,20649600,17.125
"2010-01-14",17.122499,17.432501,17.122499,17.297501,10400400,17.297501
"2010-01-15",17.262501,17.387501,17.025,17.157499,8564800,17.157499
"2010-01-19",17.147499,17.467501,17.0375,17.375,6252800,17.375
"2010-01-20",17.200001,17.2925,16.875,17.137501,7260000,17.137501
"2010-01-21",17.155001,17.379999,16.6525,16.719999,8946000,16.719999
"2010-01-22",16.682501,16.735001,16.09,16.135,8788800,16.135
"2010-01-25",16.370001,16.4025,15.8675,16.032499,9866800,16.032499
"2010-01-26",16.040001,16.545,15.8375,16.352501,10367200,16.352501
"2010-01-27",16.352501,16.415001,16.0975,16.35,5947600,16.35
"2010-01-28",16.307501,16.325001,15.86,16.040001,5684400,16.040001
"2010-01-29",16.202499,16.290001,15.8,15.8875,6281200,15.8875
"2010-02-01",16.004999,16.32,15.9125,16.295,5632000,16.295
"2010-02-02",16.3125,16.3925,16.022499,16.264999,4664400,16.264999
"2010-02-03",16.200001,16.557501,16.1,16.405001,4725600,16.405001
"2010-02-04",16.209999,16.272499,15.4575,15.6075,11797200,15.6075
"2010-02-05",15.6225,15.625,15.075,15.52,12440800,15.52
"2010-02-08",15.5225,15.76,15.3075,15.53,5062400,15.53
"2010-02-09",15.67,16.225,15.67,16.165001,9099200,16.165001
"2010-02-10",16.195,16.225,16.0075,16.182501,6855200,16.182501
"2010-02-11",16.192499,16.5275,15.955,16.49,6448800,16.49
"2010-02-12",16.3575,16.415001,16.047501,16.272499,8150000,16.272499
"2010-02-16",16.3675,16.612499,16.327499,16.549999,5511200,16.549999
"2010-02-17",16.557501,16.83,16.557501,16.695,6672400,16.695
"2010-02-18",16.915001,17.235001,16.8575,17.112499,8361600,17.112499
"2010-02-19",17.030001,17.372499,17.004999,17.23,7196800,17.23
"2010-02-22",17.327499,17.3825,17.174999,17.26,5123600,17.26
"2010-02-23",17.182501,17.3475,16.975,17.059999,5597200,17.059999
"2010-02-24",17.08,17.504999,17.022499,17.360001,10460400,17.360001
"2010-02-25",17.2075,17.209999,16.192499,17.002501,19942400,17.002501
"2010-02-26",16.815001,17.0175,16.625,16.987499,10079600,16.987499
"2010-03-01",16.934999,17.8475,16.879999,17.725,10422000,17.725
"2010-03-02",17.6975,18.0875,17.657499,17.959999,8080800,17.959999
"2010-03-03",17.9925,18.07,17.622499,17.6425,5988000,17.6425
"2010-03-04",17.674999,17.7325,17.5,17.7225,5519200,17.7225
"2010-03-05",17.799999,18.247499,17.799999,18.07,6999200,18.07
"2010-03-08",18.08,18.405001,18.030001,18.237499,5848800,18.237499
"2010-03-09",18.0175,18.549999,17.969999,18.42,9360000,18.42
"2010-03-10",18.4125,18.85,18.405001,18.797501,8216000,18.797501
"2010-03-11",18.702499,18.875,18.639999,18.855,6578000,18.855
"2010-03-12",18.934999,19.094999,18.7775,18.9275,4140400,18.9275
"2010-03-15",18.852501,18.940001,18.637501,18.9,5657200,18.9
"2010-03-16",18.870001,19.272499,18.855,19.172501,7889200,19.172501
"2010-03-17",19.2225,19.372499,19.0825,19.184999,5502800,19.184999
"2010-03-18",19.172501,19.362499,19.110001,19.227501,5493600,19.227501
"2010-03-19",19.004999,19.375,18.91,19.004999,6185600,19.004999
"2010-03-22",18.682501,19.495001,18.647499,19.377501,6491600,19.377501
"2010-03-23",19.415001,19.445,19.112499,19.275,4934800,19.275
"2010-03-24",19.147499,19.3025,18.987499,19.040001,4733600,19.040001
"2010-03-25",19.17,19.389999,18.987499,18.9925,5840800,18.9925
"2010-03-26",19.049999,19.075001,18.657499,18.737499,4206400,18.737499
"2010-03-29",18.8025,18.8575,18.615,18.692499,4227200,18.692499
"2010-03-30",18.799999,19.125,18.692499,18.852501,7784000,18.852501
"2010-03-31",18.8225,18.879999,18.5725,18.612499,4547200,18.612499
"2010-04-01",18.780001,19.025,18.67,18.885,4212800,18.885
"2010-04-05",18.977501,19.237499,18.969999,19.2125,3449200,19.2125
"2010-04-06",19.102501,19.860001,19.032499,19.7075,9928800,19.7075
"2010-04-07",19.700001,19.700001,19.17,19.295,7023600,19.295
"2010-04-08",19.1775,19.525,19.040001,19.487499,6352800,19.487499
"2010-04-09",19.639999,19.9725,19.352501,19.942499,7682400,19.942499
"2010-04-12",19.997499,20.307501,19.872499,20.127501,9838000,20.127501
"2010-04-13",20.09,20.1675,19.92,20.1075,5231600,20.1075
"2010-04-14",20.4825,20.9925,20.415001,20.967501,8835600,20.967501
"2010-04-15",20.997499,21.0975,20.7775,20.932501,5531600,20.932501
"2010-04-16",20.91,21.23,20.754999,20.870001,9941200,20.870001
"2010-04-19",20.7575,20.9625,20.25,20.6625,7141600,20.6625
"2010-04-20",20.895,21.155001,20.7575,21.120001,4295200,21.120001
"2010-04-21",21.209999,21.297501,20.987499,21.27,6288800,21.27
"2010-04-22",21.2125,22.355,21,22.174999,10038800,22.174999
"2010-04-23",22.122499,22.295,21.625,22.040001,6087600,22.040001
"2010-04-26",22.1625,22.375,22.047501,22.122499,3881600,22.122499
"2010-04-27",22.297501,22.297501,21.385,21.452499,5118400,21.452499
"2010-04-28",21.612499,21.615,21.202499,21.5375,5870800,21.5375
