"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2005-03-01",41.370224,41.554676,41.027668,41.10672,1172400,35.294006
"2005-03-02",40.869564,41.501976,40.474308,41.422924,1295700,35.565491
"2005-03-03",41.370224,41.475624,40.316204,40.316204,1069300,34.615273
"2005-03-04",40.527008,40.764164,40.210804,40.368908,1729300,34.660526
"2005-03-07",40.474308,41.317524,40.342556,41.291172,1021700,35.452374
"2005-03-08",41.10672,41.291172,40.632412,40.711464,885600,34.954651
"2005-03-09",40.579712,40.843216,40.131752,40.263504,832300,34.570023
"2005-03-10",40.263504,40.342556,39.710144,40.316204,1387900,34.615273
"2005-03-11",40.316204,40.447956,39.631092,39.789196,1177800,34.162785
"2005-03-14",40.079052,40.764164,39.920948,40.711464,1416400,34.954651
"2005-03-15",40.65876,40.790512,39.578392,39.736496,1312100,34.117542
"2005-03-16",39.525692,39.631092,38.550724,38.814228,1631800,33.325691
"2005-03-17",38.18182,39.367588,37.417656,39.025032,1390600,33.506672
"2005-03-18",39.025032,39.051384,38.076416,38.814228,2013200,33.325691
"2005-03-21",38.498024,38.656128,38.050064,38.050064,977800,32.669582
"2005-03-22",37.549408,39.025032,37.549408,38.761528,1507600,33.280445
"2005-03-23",38.735176,39.183136,38.260868,39.077732,862700,33.551922
"2005-03-24",39.077732,39.472992,38.89328,39.367588,765000,33.800789
"2005-03-28",39.367588,39.868248,38.89328,39.868248,2250300,34.230667
"2005-03-29",39.104084,39.736496,38.656128,39.34124,1941800,33.778175
"2005-03-30",39.262188,40.131752,39.130436,40.131752,1229800,34.456905
"2005-03-31",40.131752,40.474308,39.578392,39.920948,1553000,34.275906
"2005-04-01",39.973648,40.368908,39.209488,39.44664,680500,33.868664
"2005-04-04",39.44664,40.289856,39.288536,40.184452,1089300,34.502151
"2005-04-05",40.184452,40.184452,39.472992,39.762844,1070200,34.140171
"2005-04-06",40.079052,40.184452,39.420288,39.525692,588000,33.936546
"2005-04-07",39.683796,40.026352,39.552044,39.762844,950200,34.140171
"2005-04-08",39.815548,39.920948,39.262188,39.367588,537100,33.800789
"2005-04-11",39.39394,39.762844,38.998684,39.235836,648700,33.687668
"2005-04-12",38.998684,39.34124,38.050064,38.33992,1758400,32.918449
"2005-04-13",38.050064,38.471672,37.417656,37.549408,1427000,32.239712
"2005-04-14",37.2332,37.470356,36.363636,36.758892,1307400,31.560982
"2005-04-15",36.363636,36.389988,34.387352,35.283268,2303100,30.294018
"2005-04-18",34.993412,35.836628,34.888012,35.810276,1553000,30.746504
"2005-04-19",35.810276,36.363636,35.599472,35.96838,1129100,30.882257
"2005-04-20",35.599472,36.785244,35.309616,36.152832,1633800,31.040627
"2005-04-21",35.836628,36.231884,34.835308,35.783928,2636700,30.723885
"2005-04-22",35.52042,35.91568,34.993412,35.599472,1132700,30.565529
"2005-04-25",35.494072,35.836628,35.046112,35.810276,1002400,30.746504
"2005-04-26",35.573124,35.91568,35.230568,35.283268,1035300,30.294018
"2005-04-27",35.283268,36.047432,34.993412,35.704876,1457500,30.656021
"2005-04-28",35.652172,35.652172,34.86166,34.993412,800700,30.045155
"2005-04-29",35.046112,35.177864,34.519104,34.91436,1765800,29.977282
"2005-05-02",35.204216,35.441372,34.940712,35.151516,700700,30.180901
"2005-05-03",34.571804,35.098816,34.545456,34.993412,1176000,30.045155
"2005-05-04",35.072464,35.204216,34.729908,35.019764,849300,30.067781
"2005-05-05",34.91436,35.098816,34.492752,34.703556,893600,29.796288
"2005-05-06",34.782608,34.993412,34.545456,34.650856,1351800,29.751041
"2005-05-09",34.519104,35.019764,34.492752,34.91436,1417800,29.977282
"2005-05-10",34.86166,34.86166,34.229248,34.492752,1099400,29.615288
"2005-05-11",34.492752,34.729908,34.281948,34.650856,1403900,29.751041
"2005-05-12",34.650856,35.072464,34.571804,34.703556,844400,29.796288
"2005-05-13",34.940712,35.36232,34.703556,35.36232,2155100,30.361891
"2005-05-16",35.546772,36.179184,35.388668,36.100132,3045200,30.995384
"2005-05-17",35.836628,36.07378,34.993412,35.46772,1862000,30.452389
"2005-05-18",35.494072,36.785244,35.388668,36.758892,1914600,31.560982
"2005-05-19",36.732544,36.811596,36.337284,36.758892,841600,31.560982
"2005-05-20",36.62714,36.811596,36.363636,36.62714,617800,31.447859
"2005-05-23",36.548088,36.864296,36.389988,36.706192,893000,31.515732
"2005-05-24",36.548088,37.0751,36.179184,36.943348,2141600,31.71936
"2005-05-25",36.600792,36.969696,36.416336,36.864296,1437600,31.651482
"2005-05-26",36.943348,37.259552,36.337284,36.758892,885500,31.560982
"2005-05-27",36.864296,36.864296,36.363636,36.442688,604200,31.289499
"2005-05-31",36.258236,36.284584,35.731224,35.757576,1186800,30.701273
"2005-06-01",35.599472,36.442688,35.309616,36.100132,755200,30.995384
"2005-06-02",35.625824,36.100132,35.599472,35.96838,1137900,30.882257
"2005-06-03",35.757576,36.152832,35.704876,35.731224,1089200,30.678627
"2005-06-06",35.46772,35.836628,35.230568,35.335968,859600,30.339272
"2005-06-07",35.046112,35.704876,35.019764,35.098816,3184600,30.135653
"2005-06-08",36.047432,36.890644,35.942028,36.46904,2715600,31.312109
"2005-06-09",36.310936,36.57444,36.100132,36.258236,1458000,31.131123
"2005-06-10",36.337284,36.62714,36.100132,36.62714,1389800,31.447859
"2005-06-13",36.442688,37.812912,36.442688,37.602108,2638800,32.284969
"2005-06-14",37.549408,37.62846,37.022396,37.364952,1109000,32.081345
"2005-06-15",37.62846,38.155468,37.417656,37.944664,1065800,32.579079
"2005-06-16",37.78656,38.735176,37.496708,37.997364,1895100,32.624317
"2005-06-17",38.471672,38.471672,37.417656,37.496708,1968400,32.194462
"2005-06-20",37.285904,37.417656,37.048748,37.154152,1533200,31.900352
"2005-06-21",36.890644,36.943348,36.57444,36.732544,1699300,31.538359
"2005-06-22",37.0751,37.259552,36.732544,36.943348,1377100,31.71936
"2005-06-23",36.996048,37.549408,36.416336,37.048748,2609700,31.809856
"2005-06-24",36.943348,37.1278,36.363636,36.653492,1663600,31.470493
"2005-06-27",36.442688,37.0751,36.231884,36.969696,2270000,31.741983
"2005-06-28",37.022396,37.154152,36.548088,36.890644,1607700,31.674103
"2005-06-29",36.890644,37.391304,36.52174,37.364952,1787800,32.081345
"2005-06-30",37.417656,37.68116,36.258236,36.337284,2145400,31.199011
"2005-07-01",36.548088,36.758892,35.942028,35.994728,1374700,30.904869
