"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume","TMK.Adjusted"
"2002-03-21",17.902222,18.013334,17.813334,17.951111,654300,15.116647
"2002-03-22",17.933332,17.968889,17.795555,17.844444,489600,15.026822
"2002-03-25",17.844444,17.879999,17.559999,17.662222,672700,14.873368
"2002-03-26",17.622223,17.964445,17.51111,17.533333,604000,14.764832
"2002-03-27",17.6,18,17.559999,17.862223,529600,15.041795
"2002-03-28",17.844444,18.040001,17.688889,17.906666,569700,15.079215
"2002-04-01",17.795555,17.795555,17.466667,17.671112,682200,14.880866
"2002-04-02",17.671112,17.871111,17.555555,17.791111,780700,14.98192
"2002-04-03",17.822222,17.884445,17.724445,17.768888,842500,14.996912
"2002-04-04",17.764444,17.902222,17.671112,17.791111,639400,15.01567
"2002-04-05",17.822222,18.102222,17.808889,18.031111,598900,15.21823
"2002-04-08",18.075556,18.075556,17.893333,18.035555,746500,15.22198
"2002-04-09",17.888889,18.311111,17.844444,18.271111,857200,15.420788
"2002-04-10",18.271111,18.555555,18.271111,18.555555,720400,15.660866
"2002-04-11",18.555555,18.577778,18.257778,18.284445,357900,15.432041
"2002-04-12",18.311111,18.506666,18.222221,18.448889,348000,15.570837
"2002-04-15",18.337778,18.471111,18.017778,18.231112,588700,15.387033
"2002-04-16",18.297777,18.435556,18.271111,18.391111,353700,15.522073
"2002-04-17",18.377777,18.586666,18.288889,18.506666,407400,15.619598
"2002-04-18",18.48889,18.59111,18.173334,18.200001,730300,15.360777
"2002-04-19",18.222221,18.440001,18.133333,18.360001,388800,15.49581
"2002-04-22",18.360001,18.555555,18.244444,18.297777,715500,15.443295
"2002-04-23",18.4,18.4,17.991112,18.026667,952300,15.214477
"2002-04-24",18.111111,18.577778,18.040001,18.204445,1009900,15.364522
"2002-04-25",18.177778,18.235556,17.951111,18.004444,963100,15.195724
"2002-04-26",18.035555,18.084444,17.888889,18.053333,1023000,15.236991
"2002-04-29",18.177778,18.244444,17.902222,18.057777,1843600,15.240728
"2002-04-30",18.168888,18.342222,17.955555,18.173334,640900,15.338268
"2002-05-01",18.200001,18.417778,17.991112,18.337778,616000,15.477054
"2002-05-02",18.333334,18.377777,18.200001,18.271111,618000,15.420788
"2002-05-03",18.355556,18.355556,18.097778,18.271111,649800,15.420788
"2002-05-06",18.266666,18.4,18.031111,18.057777,621100,15.240728
"2002-05-07",18.168888,18.168888,17.897778,17.897778,906700,15.105693
"2002-05-08",18.013334,18.16,17.822222,18.035555,650200,15.22198
"2002-05-09",18.022223,18.146667,17.862223,17.906666,589600,15.113194
"2002-05-10",17.906666,17.951111,17.622223,17.786667,408300,15.011923
"2002-05-13",17.786667,18.111111,17.786667,18.071112,459100,15.251997
"2002-05-14",18.155556,18.177778,17.933332,18.040001,645300,15.225731
"2002-05-15",17.995556,18.111111,17.959999,18.013334,514800,15.203224
"2002-05-16",18.097778,18.213333,17.964445,18.137777,611100,15.308251
"2002-05-17",18.088888,18.364445,18.088888,18.311111,671100,15.454555
"2002-05-20",18.311111,18.311111,17.959999,17.968889,627900,15.165717
"2002-05-21",17.973333,18.168888,17.955555,17.964445,741300,15.161965
"2002-05-22",17.964445,18.155556,17.888889,18.048889,952600,15.233232
"2002-05-23",18.133333,18.231112,18.008888,18.133333,745200,15.304512
"2002-05-24",18.177778,18.222221,18,18.120001,484600,15.293253
"2002-05-28",18.164444,18.164444,17.911112,18.035555,763600,15.22198
"2002-05-29",18.035555,18.231112,18.035555,18.062222,500800,15.24449
"2002-05-30",17.866667,18.062222,17.799999,17.884445,1160100,15.094444
"2002-05-31",17.911112,18.008888,17.808889,17.937778,1319800,15.139453
"2002-06-03",17.844444,17.977777,17.786667,17.862223,1041700,15.075685
"2002-06-04",17.782223,17.822222,17.555555,17.666666,902800,14.910642
"2002-06-05",17.755556,18.111111,17.671112,18.013334,935100,15.203224
"2002-06-06",18.124445,18.133333,17.822222,17.822222,583300,15.041925
"2002-06-07",17.826666,18.044445,17.724445,17.911112,664800,15.116944
"2002-06-10",17.977777,18.106667,17.875555,18.008888,601200,15.199471
"2002-06-11",17.955555,18.044445,17.564444,17.564444,607600,14.82436
"2002-06-12",17.608889,17.755556,17.533333,17.533333,1040800,14.798107
"2002-06-13",17.422222,17.542223,17.200001,17.235556,853600,14.546784
"2002-06-14",17.155556,17.355556,16.844444,17.297777,1134900,14.599298
"2002-06-17",17.355556,17.666666,17.355556,17.577778,1078300,14.83562
"2002-06-18",17.555555,17.657778,17.426666,17.497778,1271700,14.768102
"2002-06-19",17.497778,17.6,17.328888,17.342222,609300,14.636805
"2002-06-20",17.244444,17.377777,17.08,17.16,967000,14.48301
"2002-06-21",16.888889,17.253334,16.888889,17.124445,1412700,14.453004
"2002-06-24",17.124445,17.213333,16.711111,16.804445,1036300,14.182923
"2002-06-25",16.911112,17.044445,16.711111,16.728889,1383700,14.119159
"2002-06-26",16.506666,16.799999,16.311111,16.644444,1148500,14.047883
"2002-06-27",16.657778,16.844444,16.577778,16.76,986500,14.145412
"2002-06-28",16.871111,17.053333,16.857779,16.977777,905400,14.329215
"2002-07-01",16.888889,16.977777,16.657778,16.657778,643500,14.059139
"2002-07-02",16.777779,16.777779,16.306667,16.333334,1066200,13.818484
"2002-07-03",16.466667,16.466667,16.008888,16.16,699400,13.671844
"2002-07-05",16.173334,16.59111,16.173334,16.586666,278100,14.032814
"2002-07-08",16.497778,16.711111,16.311111,16.493334,493600,13.953855
"2002-07-09",16.493334,16.639999,15.964444,15.964444,839800,13.506401
"2002-07-10",16.075556,16.111111,15.502222,15.502222,1005400,13.115345
"2002-07-11",15.391111,15.773334,15.391111,15.715555,1211800,13.295833
"2002-07-12",15.777778,15.8,15.591111,15.671111,1036500,13.25823
"2002-07-15",15.6,15.68,15.2,15.675555,1288900,13.261992
