"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2015-09-15",213.110001,216.169998,211.009995,215.360001,301100,192.089676
"2015-09-16",214.970001,218.020004,214.970001,217.740005,172700,194.212494
"2015-09-17",217.309998,223.039993,215.460007,219.559998,303300,195.835815
"2015-09-18",219.360001,225.350006,218.009995,219.479996,529900,195.764511
"2015-09-21",219.899994,223.119995,218.679993,221.630005,258400,197.682175
"2015-09-22",220.279999,221.619995,218.759995,219.520004,265400,195.800201
"2015-09-23",219.5,222.520004,218.539993,220.949997,251500,197.075638
"2015-09-24",220.270004,221.720001,216.619995,217.889999,3e+05,194.346283
"2015-09-25",218.770004,220.119995,217.130005,218.479996,392800,194.872559
"2015-09-28",216.539993,217.169998,212.919998,214.850006,261400,192.906204
"2015-09-29",214.910004,220,214.139999,219.419998,285500,197.009476
"2015-09-30",221.050003,223.850006,220.600006,223.419998,476200,200.600906
"2015-10-01",224.240005,226.050003,222.860001,225.679993,402800,202.630081
"2015-10-02",224.600006,227.740005,221.039993,227.630005,291900,204.380936
"2015-10-05",228.139999,229.369995,226.289993,228.449997,322400,205.117157
"2015-10-06",228.110001,229.509995,225.630005,226.729996,273500,203.57283
"2015-10-07",226.800003,229.179993,226.270004,229.020004,392600,205.628967
"2015-10-08",229.089996,230.369995,226.029999,229.570007,272400,206.122803
"2015-10-09",229.289993,229.529999,227.410004,228.559998,276400,205.215942
"2015-10-12",229.130005,230.570007,227.869995,230.470001,281900,206.930847
"2015-10-13",229.839996,230.759995,227.729996,228.970001,255700,205.584045
"2015-10-14",229.410004,229.410004,225.740005,226.259995,255600,203.150864
"2015-10-15",227.130005,231.210007,226.399994,231.029999,439100,207.433701
"2015-10-16",232.220001,234.039993,231.330002,233.369995,317900,209.534683
"2015-10-19",233.220001,237.699997,232.869995,237.550003,225600,213.287781
"2015-10-20",237.320007,238.25,235.809998,237.210007,220000,212.982483
"2015-10-21",238,238.850006,233.899994,234.289993,359700,210.360703
"2015-10-22",235.309998,236.210007,230.800003,231.990005,648000,208.295639
"2015-10-23",231.259995,234.199997,228.330002,230.25,453400,206.733353
"2015-10-26",230.889999,232,227.589996,229.660004,418100,206.203598
"2015-10-27",229.300003,230.460007,225.929993,227.300003,583500,204.084656
"2015-10-28",227.600006,229.419998,220.089996,223.190002,804300,200.394379
"2015-10-29",223.190002,227,222.199997,226.25,556200,203.141891
"2015-10-30",222.860001,226.050003,216.139999,220.440002,966300,197.925308
"2015-11-02",220.440002,226.839996,220.25,226.020004,521300,202.935379
"2015-11-03",226.020004,226.740005,221.860001,223.130005,429200,200.340546
"2015-11-04",223.160004,224.720001,220.009995,221.839996,402900,199.182327
"2015-11-05",221.070007,223.759995,220.259995,223.580002,321000,200.744568
"2015-11-06",221.970001,222.179993,216.410004,218.740005,326900,196.398926
"2015-11-09",217.199997,219.369995,214.289993,216.190002,271100,194.109375
"2015-11-10",217.690002,220.699997,216.669998,218.259995,383700,195.967926
"2015-11-11",218.449997,221.389999,217.690002,220.660004,199200,198.122833
"2015-11-12",220.419998,221.190002,218.529999,218.869995,222800,196.515625
"2015-11-13",219.639999,221.110001,217.610001,217.75,173400,195.510056
"2015-11-16",217.809998,222.169998,217.289993,220.800003,193200,198.24852
"2015-11-17",220.419998,224.149994,219.059998,222.25,252100,199.55043
