"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2015-09-14",116.580002,116.889999,114.860001,115.309998,58363400,107.616867
"2015-09-15",115.93,116.529999,114.419998,116.279999,43341200,108.522148
"2015-09-16",116.25,116.540001,115.440002,116.410004,37173500,108.643478
"2015-09-17",115.660004,116.489998,113.720001,113.919998,64112600,106.319611
"2015-09-18",112.209999,114.300003,111.870003,113.449997,74285300,105.880959
"2015-09-21",113.669998,115.370003,113.660004,115.209999,50222000,107.523544
"2015-09-22",113.379997,114.18,112.519997,113.400002,50346200,105.834305
"2015-09-23",113.629997,114.720001,113.300003,114.32,35756700,106.692917
"2015-09-24",113.25,115.5,112.370003,115,50219500,107.327568
"2015-09-25",116.440002,116.690002,114.019997,114.709999,56151900,107.056892
"2015-09-28",113.849998,114.57,112.440002,112.440002,52109000,104.938339
"2015-09-29",112.830002,113.510002,107.860001,109.059998,73365400,101.783844
"2015-09-30",110.169998,111.540001,108.730003,110.300003,66473000,102.941124
"2015-10-01",109.07,109.620003,107.309998,109.580002,63929100,102.269157
"2015-10-02",108.010002,111.010002,107.550003,110.379997,58019800,103.015785
"2015-10-05",109.879997,111.370003,109.07,110.779999,52064700,103.389107
"2015-10-06",110.629997,111.739998,109.769997,111.309998,48196800,103.883736
"2015-10-07",111.739998,111.769997,109.410004,110.779999,46765600,103.389107
"2015-10-08",110.190002,110.190002,108.209999,109.5,61979600,102.194481
"2015-10-09",110,112.279999,109.489998,112.120003,52766100,104.639717
"2015-10-12",112.730003,112.75,111.440002,111.599998,30467200,104.154366
"2015-10-13",110.82,112.449997,110.68,111.790001,33049300,104.331711
"2015-10-14",111.290001,111.519997,109.559998,110.209999,44462400,102.857132
"2015-10-15",110.93,112.099998,110.489998,111.860001,37673500,104.397049
"2015-10-16",111.779999,112,110.529999,111.040001,39232600,103.631767
"2015-10-19",110.800003,111.75,110.110001,111.730003,29759200,104.275711
"2015-10-20",111.339996,114.169998,110.82,113.769997,48967800,106.179642
"2015-10-21",114,115.580002,113.699997,113.760002,41795200,106.170296
"2015-10-22",114.330002,115.5,114.099998,115.5,41654100,107.794189
"2015-10-23",116.699997,119.230003,116.330002,119.080002,59366900,111.135353
"2015-10-26",118.080002,118.129997,114.919998,115.279999,66333800,107.588867
"2015-10-27",115.400002,116.540001,113.989998,114.550003,69884400,106.90757
"2015-10-28",116.93,119.300003,116.059998,119.269997,85551400,111.312668
"2015-10-29",118.699997,120.690002,118.269997,120.529999,51227300,112.488594
"2015-10-30",120.989998,121.220001,119.449997,119.5,49365300,111.527328
"2015-11-02",120.800003,121.360001,119.610001,121.18,32203300,113.095245
"2015-11-03",120.790001,123.489998,120.699997,122.57,45519000,114.392502
"2015-11-04",123.129997,123.82,121.620003,122,44886100,113.860535
"2015-11-05",121.849998,122.690002,120.18,120.919998,39552700,113.335655
"2015-11-06",121.110001,121.809998,120.620003,121.059998,33042300,113.466873
"2015-11-09",120.959999,121.809998,120.050003,120.57,33871400,113.007607
"2015-11-10",116.900002,118.07,116.059998,116.769997,59127900,109.445953
"2015-11-11",116.370003,117.419998,115.209999,116.110001,45218000,108.827339
"2015-11-12",116.260002,116.82,115.650002,115.720001,32525600,108.461807
"2015-11-13",115.199997,115.57,112.269997,112.339996,45812400,105.293808
"2015-11-16",111.379997,114.239998,111,114.18,38106700,107.018402
"2015-11-17",114.919998,115.050003,113.32,113.690002,27616900,106.559135
"2015-11-18",115.760002,117.489998,115.5,117.290001,46674700,109.933342
"2015-11-19",117.639999,119.75,116.760002,118.779999,43295800,111.329895
"2015-11-20",119.199997,119.919998,118.849998,119.300003,34287100,111.817261
"2015-11-23",119.269997,119.730003,117.339996,117.75,32482500,110.364494
"2015-11-24",117.330002,119.349998,117.120003,118.879997,42803200,111.423599
"2015-11-25",119.209999,119.230003,117.919998,118.029999,21388300,110.626923
"2015-11-27",118.290001,118.410004,117.599998,117.809998,13046400,110.420731
"2015-11-30",117.989998,119.410004,117.75,118.300003,39180300,110.879997
"2015-12-01",118.75,118.809998,116.860001,117.339996,34852400,109.980186
"2015-12-02",117.339996,118.110001,116.080002,116.279999,33386600,108.986679
"2015-12-03",116.550003,116.790001,114.220001,115.199997,41569500,107.974419
"2015-12-04",115.290001,119.25,115.110001,119.029999,57777000,111.564194
"2015-12-07",118.980003,119.860001,117.809998,118.279999,32084200,110.861244
"2015-12-08",117.519997,118.599998,116.860001,118.230003,34309500,110.814377
"2015-12-09",117.639999,117.690002,115.080002,115.620003,46361400,108.36808
