"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2015-06-03",46.238434,46.51606,45.661404,46.303757,1856800,45.31934
"2015-06-04",45.93903,46.265652,45.666847,45.715839,1491200,44.743931
"2015-06-05",45.367447,46.548721,45.329342,45.753948,1708900,44.781231
"2015-06-08",45.715839,46.194881,45.291237,45.748505,1759600,44.77589
"2015-06-09",46.151333,47.566685,46.151333,46.853565,2401600,45.857464
"2015-06-10",47.403374,47.479588,46.358192,46.695698,1524100,45.70295
"2015-06-11",46.646706,46.81546,46.260208,46.38541,2038300,45.399258
"2015-06-12",46.113228,46.189438,45.764835,45.906368,1034400,44.930405
"2015-06-15",45.645073,46.064236,45.394665,45.819271,1317400,44.845154
"2015-06-16",45.824715,46.352749,45.645073,46.075123,1165000,45.095573
"2015-06-17",46.467068,46.804573,45.993469,46.183994,2382200,45.202126
"2015-06-18",46.29287,46.624931,44.746868,44.937397,3108900,43.982033
"2015-06-19",44.670658,45.057159,44.191616,44.540012,4153600,43.59309
"2015-06-22",44.725094,45.160587,44.017418,44.735981,2603700,43.784893
"2015-06-23",44.692432,45.895481,44.561787,45.80294,2767600,44.829178
"2015-06-24",45.835602,46.281982,45.43277,45.694065,1762600,44.722614
"2015-06-25",45.666847,45.666847,45.013611,45.215023,3659100,44.253754
"2015-06-26",45.002724,45.247688,44.540012,44.632553,7454700,43.683678
"2015-06-29",44.218834,44.975502,44.12085,44.246052,2431200,43.305378
"2015-06-30",44.610779,44.937397,44.126293,44.278717,1557200,43.337364
"2015-07-01",44.295048,44.458355,43.391399,43.663582,2151600,42.735302
"2015-07-02",43.756123,44.191616,43.576485,43.636364,1762600,42.70866
"2015-07-06",43.091999,43.369625,42.422428,42.509525,2517700,41.605782
"2015-07-07",42.672836,42.906914,41.780075,42.727272,3559500,41.818901
"2015-07-08",42.656506,42.912357,41.878063,42.003265,2882000,41.110279
"2015-07-09",42.749046,43.244419,42.182907,42.210125,2999800,41.312737
"2015-07-10",42.367992,42.716385,41.611324,41.671204,2472900,40.785286
"2015-07-13",41.839958,42.340775,41.643986,42.259117,3455700,41.360687
"2015-07-14",42.231899,42.874252,42.161133,42.798038,1520400,41.888157
"2015-07-15",42.634731,42.950462,41.420795,41.551441,2752300,40.66806
"2015-07-16",41.850845,42.019596,41.469788,41.763744,2658100,40.875854
"2015-07-17",41.578659,41.790962,40.854656,40.958084,2423100,40.087326
"2015-07-20",40.751225,40.963528,39.591724,39.667938,3106300,38.824604
"2015-07-21",40.010887,40.201416,39.760479,40.010887,2335100,39.160259
"2015-07-22",39.629829,40.386501,39.357647,39.390312,3405600,38.552879
"2015-07-23",38.8405,41.910725,38.8405,41.51878,7503500,40.636101
"2015-07-24",40.958084,41.594994,39.940121,40.435493,5572900,39.57584
"2015-07-27",39.967339,42.340775,39.499184,41.23571,5718700,40.359047
"2015-07-28",41.507893,42.781708,40.903648,42.297222,4126400,41.397987
"2015-07-29",42.210125,42.874252,41.780075,42.329887,2953300,41.429966
