"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2015-04-24",98.168457,98.244728,97.586906,97.720375,2831900,88.71714
"2015-04-27",98.082657,98.454468,97.625038,97.758514,1957100,88.751762
"2015-04-28",98.149391,98.502136,97.186493,98.130325,2208700,89.089317
"2015-04-29",97.482033,98.044525,96.805145,96.995819,2848600,88.059349
"2015-04-30",96.824211,97.205559,95.994774,96.21405,3281600,87.349602
"2015-05-01",96.824211,97.739441,96.690735,97.720375,2201800,88.71714
"2015-05-04",97.701309,98.52121,97.558304,97.796646,2499100,88.786385
"2015-05-05",97.739441,98.082657,96.557266,96.805145,2322000,87.886246
"2015-05-06",97.386696,97.482033,95.6325,96.280785,4022200,87.410187
"2015-05-07",95.956642,96.442863,95.479958,96.299858,4706500,87.427521
"2015-05-08",97.45343,97.691772,97.176956,97.358093,4148500,88.388245
"2015-05-11",98.177994,98.568878,97.77758,97.90152,3546100,88.881607
"2015-05-12",97.129288,97.672707,96.719337,97.539238,2602900,88.552704
"2015-05-13",98.292397,100.323074,98.225662,99.569916,4837500,90.396301
"2015-05-14",99.970329,101.610123,99.627113,101.476654,5188100,92.127342
"2015-05-15",101.69593,101.934273,101.133438,101.867531,5735500,92.482208
"2015-05-18",101.676857,102.105873,101.619659,101.791267,3187000,92.412979
"2015-05-19",101.448051,101.657791,100.704422,100.87603,2624300,92.050034
"2015-05-20",100.980904,101.610123,100.675819,101.276443,3541900,92.415398
"2015-05-21",101.324112,101.819862,101.133438,101.400383,2789700,92.528503
"2015-05-22",101.314583,101.533852,100.904633,100.980904,1529200,92.145744
"2015-05-26",100.590019,100.742561,99.598511,99.951263,2288800,91.206184
"2015-05-27",100.246803,100.656754,99.894058,100.46608,2193900,91.675957
"2015-05-28",100.437477,100.837898,99.93219,100.761627,2524800,91.945641
"2015-05-29",100.542351,100.628151,99.150429,99.341103,2491800,90.649406
"2015-06-01",99.369705,99.827324,98.69281,99.207634,2256800,90.527611
"2015-06-02",99.121826,100.227737,98.349602,99.684319,2049900,90.962593
"2015-06-03",100.103798,100.475616,99.43644,100.084732,1590800,91.32798
"2015-06-04",99.43644,99.970329,98.60701,98.883484,2590300,90.231827
"2015-06-05",98.845352,99.207634,98.549805,98.902557,1671700,90.249229
"2015-06-08",98.931152,99.074158,98.435402,98.444939,1544900,89.831665
"2015-06-09",98.511673,99.1409,98.416336,98.730949,1598600,90.092636
"2015-06-10",99.43644,100.113335,98.826286,99.884521,2205900,91.145271
"2015-06-11",100.323074,100.323074,99.665253,100.008461,1711400,91.258385
"2015-06-12",99.569916,99.913124,98.854889,99.198097,1310700,90.518929
"2015-06-15",98.368668,98.826286,97.558304,98.616547,3009600,89.988235
"2015-06-16",98.368668,99.465042,98.282867,99.245766,1904800,90.562416
"2015-06-17",99.512711,99.817787,98.406799,99.341103,2799700,90.649406
"2015-06-18",99.445976,100.980904,99.445976,100.609085,2336500,91.806458
"2015-06-19",100.313538,100.952301,100.199135,100.427948,2918800,91.641159
"2015-06-22",100.96183,101.257378,99.674782,100.456551,2295800,91.667274
"2015-06-23",100.370743,100.437477,99.646179,99.874992,1897400,91.136574
"2015-06-24",99.865456,100.351677,99.245766,99.245766,2411200,90.562416
"2015-06-25",100.170532,100.170532,98.406799,98.540276,1520400,89.918648
"2015-06-26",98.893021,98.912086,98.368668,98.711884,2217700,90.075233
"2015-06-29",98.130325,98.340065,97.062553,97.100685,2243700,88.605019
"2015-06-30",97.882446,98.311462,96.83374,97.215088,2302700,88.709396
"2015-07-01",98.177994,98.654678,97.701309,98.044525,2277200,89.46627
"2015-07-02",98.330536,98.492607,97.424835,97.729912,1880700,89.179192
"2015-07-06",96.767006,98.158928,96.633537,97.605972,2373000,89.066086
"2015-07-07",97.644104,98.177994,96.33799,98.044525,2479900,89.46627
"2015-07-08",97.24369,97.615509,96.051979,96.261719,2460900,87.839447
"2015-07-09",97.548767,97.930115,96.42379,96.461929,2853500,88.022133
"2015-07-10",97.234161,97.882446,96.843277,97.634575,2700100,89.092194
"2015-07-13",98.52121,99.026489,98.311462,98.931152,1687100,90.275322
"2015-07-14",98.883484,99.541313,98.578407,99.2267,1513600,90.545021
"2015-07-15",99.2267,99.588982,98.730949,98.997894,2868900,90.336235
"2015-07-16",99.998932,99.998932,98.225662,98.740479,4854600,90.101341
"2015-07-17",100.027527,101.648262,99.407837,100.618622,5708500,91.815147
"2015-07-20",100.771156,101.810333,100.609085,101.40992,4743600,92.537231
"2015-07-21",101.076241,101.438515,100.284943,100.485146,3906400,91.693336
"2015-07-22",100.447014,100.599556,99.63665,99.855927,3280500,91.119194
"2015-07-23",99.894058,100.551888,99.350639,99.455505,2485100,90.753807
"2015-07-24",99.3125,99.646179,97.529701,97.977783,2940300,89.405357
"2015-07-27",97.24369,97.291359,96.633537,96.900482,3452100,88.422325
"2015-07-28",97.911049,99.646179,97.529701,99.341103,4120800,90.649406
"2015-07-29",99.341103,100.904633,99.10276,100.618622,2698600,91.815147
"2015-07-30",100.122864,100.837898,99.741516,100.46608,2320400,91.675957
"2015-07-31",100.828362,100.980904,100.037064,100.151466,2075600,91.38887
"2015-08-03",100.122864,100.122864,99.055092,99.817787,2462800,91.084381
"2015-08-04",99.836853,100.485146,99.236237,99.741516,3016600,91.014778
"2015-08-05",100.580482,101.314583,100.34214,100.799759,2051600,91.980446
"2015-08-06",100.866493,101.343178,100.485146,100.856964,2228300,92.032654
"2015-08-07",100.733025,100.999969,100.094269,100.542351,1910800,91.74556
"2015-08-10",101.486183,102.401421,101.37178,102.296547,2324100,93.346275
"2015-08-11",101.162041,101.49572,99.63665,100.456551,3392400,91.667274
"2015-08-12",100.38028,100.847427,98.797684,100.618622,3834300,91.815147
"2015-08-13",100.084732,100.96183,99.741516,100.599556,2173500,91.797752
"2015-08-14",100.733025,101.257378,100.523285,101.133438,1654000,92.28492
"2015-08-17",100.637688,101.390846,99.827324,101.324112,2393600,92.458916
"2015-08-18",100.837898,101.69593,100.647224,101.257378,3594400,92.872345
"2015-08-19",100.580482,101.047638,99.913124,100.141937,2611100,91.849281
"2015-08-20",99.236237,99.445976,97.815712,97.853851,4193400,89.750656
"2015-08-21",97.119751,97.291359,94.240578,94.26918,7715700,86.462837
"2015-08-24",88.024605,93.897362,82.943146,90.837051,8065600,83.314919
"2015-08-25",93.763893,93.94503,89.435593,89.550003,6382900,82.134453
"2015-08-26",91.780884,93.315811,90.665443,93.268143,5521700,85.544701
"2015-08-27",94.517052,95.813637,93.782959,95.232079,5281300,87.346008
"2015-08-28",94.879333,95.575294,94.488457,95.356018,3625300,87.459671
"2015-08-31",94.965141,95.699234,94.47892,94.640991,4449200,86.803848
"2015-09-01",92.457779,92.896324,90.97052,91.485336,4484800,83.909538
"2015-09-02",92.505447,93.439751,92.009689,93.439751,4005800,85.702095
"2015-09-03",93.925964,95.01281,93.782959,93.973633,3277000,86.191772
"2015-09-04",92.772385,93.144203,91.580673,92.08596,3832300,84.460403
"2015-09-08",94.202446,95.165344,93.802025,95.155815,3896500,87.276047
"2015-09-09",95.756432,96.309387,94.040367,94.250114,3454500,86.445343
"2015-09-10",94.116638,95.479958,93.678093,94.907936,3696200,87.048714
"2015-09-11",94.831665,94.993736,93.840164,94.97467,2681900,87.109901
"2015-09-14",95.346489,95.346489,94.316849,94.593323,2627500,86.760124
"2015-09-15",94.993736,96.042442,94.650528,95.642029,3144400,87.722008
"2015-09-16",95.994774,96.414261,95.699234,96.25219,3402000,88.281647
"2015-09-17",96.223587,97.520172,95.6325,95.842239,2833300,87.90564
"2015-09-18",94.660057,94.726799,93.191872,93.468346,5140200,85.72831
"2015-09-21",93.601822,93.992699,92.667519,93.182335,2814400,85.465988
"2015-09-22",91.790421,91.904823,90.779846,91.561607,4805500,83.979469
"2015-09-23",91.733215,91.952492,89.740677,90.179222,5995400,82.711563
"2015-09-24",89.283058,89.569069,87.46212,89.254456,5848000,81.863373
"2015-09-25",90.341293,90.369896,88.7015,89.159119,4089000,81.775932
"2015-09-28",88.501289,89.035179,87.300049,87.319115,4576100,80.088303
"2015-09-29",87.681396,88.758705,87.433517,88.20575,3620600,80.901505
"2015-09-30",89.283058,90.417564,89.120987,90.274559,4613200,82.799004
"2015-10-01",90.322227,91.599747,89.23539,90.293625,3476800,82.816498
"2015-10-02",89.016113,92.105026,88.672897,92.038292,4004100,84.416702
"2015-10-05",92.553116,94.316849,92.381508,93.792496,3887600,86.02562
"2015-10-06",93.792496,94.459854,93.573219,93.630424,2733100,85.876984
"2015-10-07",94.412186,95.670631,94.154778,94.850731,3127000,86.996223
"2015-10-08",94.450317,96.671669,94.412186,96.357056,3235300,88.377831
"2015-10-09",96.404724,97.348564,96.299858,96.442863,3473400,88.456512
"2015-10-12",96.566795,96.938614,96.137779,96.767006,1848100,88.753815
"2015-10-13",95.985245,96.376122,95.070007,95.165344,3839100,87.28479
"2015-10-14",95.203484,95.336952,93.659019,93.678093,3724600,85.9207
"2015-10-15",94.221512,94.221512,92.867722,93.906898,6312400,86.130554
"2015-10-16",95.336952,96.147316,90.88472,92.505447,13263500,84.845169
