"","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2012-03-12",43.705002,44.049999,43.535,43.674999,923800,39.671581
"2012-03-13",43.610001,44.16,43.305,44.145,1155800,40.098499
"2012-03-14",44.029999,44.139999,43.369999,43.814999,636800,39.798752
"2012-03-15",43.98,43.98,43.400002,43.639999,663200,39.639805
"2012-03-16",43.610001,43.75,42.735001,42.904999,1356000,38.972164
"2012-03-19",42.755001,43.369999,42.299999,43.16,902200,39.203789
"2012-03-20",43.09,43.5,42.84,43.435001,718000,39.453583
"2012-03-21",43.535,44.485001,43.314999,43.904999,1134000,39.880501
"2012-03-22",43.525002,44.035,43.424999,43.875,1118000,39.853249
"2012-03-23",43.75,43.810001,42.77,43.02,1121600,39.076626
"2012-03-26",43.48,45.5,43.474998,45.459999,2567000,41.292961
"2012-03-27",45.665001,46.369999,45.445,45.514999,1571000,41.342922
"2012-03-28",45.685001,46.084999,45.009998,45.650002,1266800,41.465542
"2012-03-29",45.349998,45.685001,44.935001,45.57,1191800,41.392883
"2012-03-30",45.919998,45.994999,45.279999,45.279999,1411800,41.129471
"2012-04-02",44.939999,46.264999,44.935001,45.93,1300600,41.719887
"2012-04-03",45.775002,46.610001,45.75,46.445,1338000,42.187679
"2012-04-04",46.064999,46.41,45.965,46.314999,1056000,42.069599
"2012-04-05",46.025002,46.75,46.025002,46.674999,993000,42.396595
"2012-04-09",46.099998,46.540001,45.66,46.509998,953200,42.246723
"2012-04-10",46.400002,46.52,45.25,45.419998,2517000,41.256634
"2012-04-11",45.775002,46.189999,45.529999,46.150002,1448200,41.919716
"2012-04-12",47.400002,49.389999,46.775002,48.974998,7729800,44.485764
"2012-04-13",48.939999,49.665001,48.66,49.189999,3362800,44.681053
"2012-04-16",49.200001,49.610001,48.5,49.005001,3409600,44.513023
"2012-04-17",49.174999,49.695,49,49.564999,1907200,45.02169
"2012-04-18",49.400002,49.904999,49.310001,49.830002,1734600,45.262398
"2012-04-19",49.985001,50.599998,49.145,49.439999,2880600,44.908138
"2012-04-20",49.619999,49.970001,49.205002,49.73,1040800,45.171558
"2012-04-23",49.215,49.77,48.849998,49.705002,1275200,45.148842
